OBJECTID,NAME,DESCRIPTION,UPDATE_DATE,Shape__Area,Shape__Length
1,,LAKE/POND,1519689600000,-6915.74963378906,773977.8789950592
2,,LAKE/POND,1519689600000,26654.2379150391,438934.1130296374
3,,DAM/WEIR,1519689600000,-3664.31066894531,858611.2015214714
4,,DAM/WEIR,1519689600000,7536.47241210938,697397.5948884289
5,,SPILLWAY,1519689600000,-487.962036132813,94267.83597551288
6,,DAM/WEIR,1394409600000,18134.8524169922,975623.8137792406
7,,DAM/WEIR,1553299200000,20167.4385986328,761162.826880452
8,,DAM/WEIR,1394409600000,7326.30090332031,786084.9127821209
9,,DAM/WEIR,1394409600000,8451.59606933594,128200.69319864565
10,,LAKE/POND,1553299200000,6530.91845703125,450440.44891583966
11,,LAKE/POND,1553299200000,-24132.2026367188,370860.5736321337
12,,LAKE/POND,1394409600000,21877.1772460938,926771.3855847281
13,,LAKE/POND,1553299200000,22741.0993652344,643900.0897035364
14,,LAKE/POND,1553299200000,-17550.6572265625,822778.5143478896
15,,LAKE/POND,1553299200000,-141663.047485352,443469.4139932496
16,,LAKE/POND,1394409600000,36195.8892822266,227315.77067387663
17,,LAKE/POND,1553299200000,95384.4526367188,554628.7739523462
18,,STREAM/RIVER,1553299200000,48829.6478271484,63910.810561308805
19,,TUNNEL/CULVERT,1394409600000,2497.46447753906,827647.5812442108
20,,TUNNEL/CULVERT,1394409600000,1234.31640625,631700.6010177535
21,,LAKE/POND,1553299200000,12099.9768066406,758111.1732236252
22,,LAKE/POND,1553299200000,-23004.9228515625,354590.16100708727
23,,LAKE/POND,1553299200000,3993.19946289063,970699.9838944394
24,,LAKE/POND,1553299200000,3586.3818359375,893130.9160889442
25,,DAM/WEIR,1553299200000,-19706.6076660156,778404.8803405574
26,,DAM/WEIR,1553299200000,31823.0046386719,194719.04934247452
27,,LAKE/POND,1553299200000,-28604.3330078125,466773.86490565777
28,,LAKE/POND,1553299200000,4725.77697753906,43899.34160688426
29,,LAKE/POND,1553299200000,23321.5747070313,154373.908828849
30,,LAKE/POND,1553299200000,18882.6676025391,683079.9652981771
31,,LAKE/POND,1553299200000,5796.73168945313,744786.9349300704
32,,DAM/WEIR,1394409600000,5194.03076171875,967512.0139512342
33,,DAM/WEIR,1553299200000,26645.1568603516,325892.44977698
34,,DAM/WEIR,1394409600000,1751.69616699219,370522.28960455937
35,,DAM/WEIR,1553299200000,19563.25390625,469608.38613886904
36,,DAM/WEIR,1553299200000,-58037.4260253906,189552.2224770182
37,,DAM/WEIR,1553299200000,-5791.32263183594,130008.38326343276
38,,DAM/WEIR,1553299200000,20178.8154296875,475756.8800283849
39,,DAM/WEIR,1553299200000,-16638.0643310547,226986.43120662996
40,,DAM/WEIR,1394409600000,-39653.7161865234,669846.3434690475
41,,DAM/WEIR,1394409600000,-5342.84643554688,437207.76652852463
42,,LAKE/POND,1553299200000,4779.33056640625,832694.0955600356
43,,LAKE/POND,1553299200000,-130212.375,700294.3752269469
44,,LAKE/POND,1553299200000,254865.065795898,312435.09235126147
45,,LAKE/POND,1553299200000,4976.51147460938,832275.7431552601
46,,LAKE/POND,1553299200000,41071.3988037109,804783.0762966947
47,,LAKE/POND,1394409600000,-25425.6831054688,387539.2437138924
48,,LAKE/POND,1394409600000,108978.055053711,288398.98279174714
49,,LAKE/POND,1553299200000,-155692.969604492,682526.571929074
50,,LAKE/POND,1394409600000,4770.54663085938,139838.36860846527
51,,SPILLWAY,1394409600000,-944.229125976563,199988.01174665833
52,,LAKE/POND,1394409600000,10716.7528076172,7461.526161760661
53,,STREAM/RIVER,1553299200000,-13980235.5391846,786944.8981400107
54,,STREAM/RIVER,1553299200000,20393.2862548828,664883.7066555163
55,,STREAM/RIVER,1553299200000,-18362.2990722656,705194.1569230938
56,,STREAM/RIVER,1553299200000,9768.03576660156,780750.1773898347
57,,STREAM/RIVER,1553299200000,14135.2272949219,458969.4250450106
58,,STREAM/RIVER,1553299200000,-71990.4283447266,568783.7530921025
59,,TUNNEL/CULVERT,1394409600000,-7042.72058105469,139882.87863084656
60,,TUNNEL/CULVERT,1394409600000,-1436.23559570313,114618.50599854632
61,,TUNNEL/CULVERT,1394409600000,-2312.36682128906,668435.4530913308
62,,TUNNEL/CULVERT,1394409600000,1819.88293457031,471148.6254263121
63,,LAKE/POND,1394409600000,101723.305786133,565279.0176344343
64,,LAKE/POND,1553299200000,-26142.9039306641,765021.5925314266
65,,RESERVOIR,1394409600000,6255.72912597656,634754.2134502707
66,,RESERVOIR,1394409600000,-3052.58081054688,553623.4891385294
67,,RESERVOIR,1394409600000,5063.48486328125,559250.6808221783
68,,TUNNEL/CULVERT,1394409600000,7838.330078125,304019.39910270786
69,,TUNNEL/CULVERT,1394409600000,3350.82446289063,30914.721966648045
70,,LAKE/POND,1553299200000,4284.73327636719,436773.2807760499
71,,LAKE/POND,1394409600000,3050.57446289063,214662.99976757442
72,,LAKE/POND,1553299200000,25048.2185058594,408587.38233161997
73,,LAKE/POND,1553299200000,-563885.911987305,853416.879557766
74,,RESERVOIR,1394409600000,173907.122802734,234015.85797726834
75,,RESERVOIR,1394409600000,56837.4954833984,58396.85311215542
76,,RESERVOIR,1394409600000,41387.4720458984,281455.4722489023
77,,ROCK/ISLAND,1394409600000,-604.493408203125,293664.1047971492
78,,LAKE/POND,1553299200000,-217373.345214844,661949.6611589077
79,,LAKE/POND,1553299200000,20105.8204345703,557075.8920938919
80,,LAKE/POND,1394409600000,4749.93176269531,783919.0353872938
81,,LAKE/POND,1553299200000,1808.66491699219,664346.4446598145
82,,LAKE/POND,1553299200000,2173.95251464844,406445.81636706507
83,,LAKE/POND,1553299200000,18291.3514404297,814038.1686071834
84,,LAKE/POND,1553299200000,-13157.1859130859,167056.05564279322
85,,LAKE/POND,1553299200000,10490.6990966797,22809.779214473958
86,,LAKE/POND,1553299200000,-69142.2218017578,90138.76594170342
87,,LAKE/POND,1553299200000,-324.752319335938,722386.39230204
88,,LAKE/POND,1553299200000,-368.272094726563,461930.580651132
89,,LAKE/POND,1553299200000,814.608154296875,161355.4905839194
90,,LAKE/POND,1553299200000,4156.62170410156,501094.1695810781
91,,LAKE/POND,1553299200000,1602.52502441406,152396.7191907944
92,,LAKE/POND,1553299200000,-6319.72131347656,696350.0467198532
93,,LAKE/POND,1553299200000,20685.8558349609,446211.21379019774
94,,LAKE/POND,1553299200000,107542.744750977,381082.74295264675
95,,LAKE/POND,1553299200000,10299.6235351563,301581.6364268726
96,,LAKE/POND,1553299200000,3430.29504394531,630318.9345769834
97,,LAKE/POND,1553299200000,12051.0693359375,361876.06747972453
98,,LAKE/POND,1553299200000,58514.5998535156,87741.06667425008
99,,LAKE/POND,1553299200000,7012.47131347656,118093.98352440115
100,,LAKE/POND,1553299200000,1587.603515625,961900.512885395
101,,LAKE/POND,1553299200000,-12665.4733886719,908588.9240578456
102,,LAKE/POND,1553299200000,-6902.75830078125,699736.4633902346
103,,LAKE/POND,1553299200000,-18490.0286865234,265943.10859341215
104,,LAKE/POND,1553299200000,2127.58215332031,969178.4905336117
105,,LAKE/POND,1553299200000,7462.865234375,778772.2501244941
106,,LAKE/POND,1553299200000,1247722.44897461,716917.7832498905
107,,LAKE/POND,1553299200000,10310.8277587891,449416.11663207214
108,,DAM/WEIR,1553299200000,-5129.48681640625,272314.06544741266
109,,DAM/WEIR,1553299200000,16398.1300048828,96481.22666632179
110,,DAM/WEIR,1394409600000,-4271.03002929688,902611.2337017907
111,,DAM/WEIR,1553299200000,11215.3416748047,455830.2564283379
